TIME        VAUXP[4] VAUXN[4]
2000000     1.65     0.0
2000010     2.158    0.0
2000020     2.621    0.0
2000030     3.006    0.0
2000040     3.276    0.0
2000050     3.3      0.0
2000060     3.276    0.0
2000070     3.006    0.0
2000080     2.621    0.0
2000090     2.158    0.0
2000100     1.65     0.0
2000110     1.142    0.0
2000120     0.679    0.0
2000130     0.294    0.0
2000140     0.024    0.0
2000150     0.0      0.0
2000160     0.024    0.0
2000170     0.294    0.0
2000180     0.679    0.0
2000190     1.142    0.0
2000200	    1.65     0.0
3999990     1.65     0.0
4000000     1.65     0.0
4000010     2.158    0.0
4000020     2.621    0.0
4000030     3.006    0.0
4000040     3.276    0.0
4000050     3.3      0.0
4000060     3.276    0.0
4000070     3.006    0.0
4000080     2.621    0.0
4000090     2.158    0.0
4000100     1.65     0.0
4000110     1.142    0.0
4000120     0.679    0.0
4000130     0.294    0.0
4000140     0.024    0.0
4000150     0.0      0.0
4000160     0.024    0.0
4000170     0.294    0.0
4000180     0.679    0.0
4000190     1.142    0.0
4000200     1.65     0.0
